app,app_display_name,sentiment,count,app_total,percent
xhh,小黑盒,positive,1147,1519,75.51
xhh,小黑盒,neutral,34,1519,2.24
xhh,小黑盒,negative,338,1519,22.25
ym,游民星空,positive,44,140,31.43
ym,游民星空,neutral,4,140,2.86
ym,游民星空,negative,92,140,65.71
